symbol,name,sector,industry
AAPL,Apple Inc,Technology,Consumer Electronics
MSFT,Microsoft Corporation,Technology,Software Infrastructure
NVDA,Nvidia Corperation,Technology,Semi-conductors
TSLA,Tesla,Consumer Goods,Automotive
